AUCTION_INFO;RESOURCE_TYPE;name_ru;block_n;ring_n;AREA_KM;n_point;gsk2011_b_deg;gsk2011_b_min;gsk2011_b_sec;gsk2011_l_deg;gsk2011_l_min;gsk2011_l_sec;pulk42_b_deg;pulk42_b_min;pulk42_b_sec;pulk42_l_deg;pulk42_l_min;pulk42_l_sec;comments;RESOURCES;EXPERT_PROTOCOL;USAGE_TYPE;LEND_TYPE;AUCTION_DATE
Волгоградская обл. 14.10.2022;газ;Моисеевский (месторождения: Моисеевское). Котовский район;1;1;10.7;1;50;10;00.224;44;28;54.609;50;10;00;44;29;00;Участок  расположен на землях лесного фонда: категория защитных лесов-ценные леса (противоэрозионные леса). Проведение работ по согласованию с Комитетом природных ресурсов, лесного хозяйства и экологии Волгоградской области.;C₁ - 3.008 млрд.м3;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;1 кв. 2023г. Югнедра
Волгоградская обл. 14.10.2022;газ;Моисеевский (месторождения: Моисеевское). Котовский район;1;1;10.7;2;50;10;00.223;44;28;25.608;50;10;00;44;28;31;Участок  расположен на землях лесного фонда: категория защитных лесов-ценные леса (противоэрозионные леса). Проведение работ по согласованию с Комитетом природных ресурсов, лесного хозяйства и экологии Волгоградской области.;C₁ - 3.008 млрд.м3;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;1 кв. 2023г. Югнедра
Волгоградская обл. 14.10.2022;газ;Моисеевский (месторождения: Моисеевское). Котовский район;1;1;10.7;3;50;11;24.222;44;25;43.602;50;11;24;44;25;49;Участок  расположен на землях лесного фонда: категория защитных лесов-ценные леса (противоэрозионные леса). Проведение работ по согласованию с Комитетом природных ресурсов, лесного хозяйства и экологии Волгоградской области.;C₁ - 3.008 млрд.м3;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;1 кв. 2023г. Югнедра
Волгоградская обл. 14.10.2022;газ;Моисеевский (месторождения: Моисеевское). Котовский район;1;1;10.7;4;50;12;06.224;44;26;52.602;50;12;06;44;26;58;Участок  расположен на землях лесного фонда: категория защитных лесов-ценные леса (противоэрозионные леса). Проведение работ по согласованию с Комитетом природных ресурсов, лесного хозяйства и экологии Волгоградской области.;C₁ - 3.008 млрд.м3;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;1 кв. 2023г. Югнедра
Волгоградская обл. 14.10.2022;газ;Моисеевский (месторождения: Моисеевское). Котовский район;1;1;10.7;5;50;11;12.226;44;29;50.607;50;11;12;44;29;56;Участок  расположен на землях лесного фонда: категория защитных лесов-ценные леса (противоэрозионные леса). Проведение работ по согласованию с Комитетом природных ресурсов, лесного хозяйства и экологии Волгоградской области.;C₁ - 3.008 млрд.м3;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;1 кв. 2023г. Югнедра
Волгоградская обл. 14.10.2022;газ;Моисеевский (месторождения: Моисеевское). Котовский район;1;1;10.7;6;50;10;20.225;44;29;51.609;50;10;20;44;29;57;Участок  расположен на землях лесного фонда: категория защитных лесов-ценные леса (противоэрозионные леса). Проведение работ по согласованию с Комитетом природных ресурсов, лесного хозяйства и экологии Волгоградской области.;C₁ - 3.008 млрд.м3;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;1 кв. 2023г. Югнедра
Волгоградская обл. 16.01.2023;газ, конденсат;Лободинский (месторождения: часть Лободинского (НФ) Быковский район;2;1;38.48;1;49;20;54.217;45;19;1.771;49;20;54.003;45;19;06.999;;газ С1 - 3,599 млрд.м3, конденсат С1- 0,506 млн.т;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;2 кв. 2023г. Югнедра
Волгоградская обл. 16.01.2023;газ, конденсат;Лободинский (месторождения: часть Лободинского (НФ) Быковский район;2;1;38.48;2;49;22;2.216;45;16;14.765;49;22;02.005;45;16;20.005;;газ С1 - 3,599 млрд.м3, конденсат С1- 0,506 млн.т;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;2 кв. 2023г. Югнедра
Волгоградская обл. 16.01.2023;газ, конденсат;Лободинский (месторождения: часть Лободинского (НФ) Быковский район;2;1;38.48;3;49;25;1.221;45;19;11.672;49;25;00.999;45;19;16.908;;газ С1 - 3,599 млрд.м3, конденсат С1- 0,506 млн.т;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;2 кв. 2023г. Югнедра
Волгоградская обл. 16.01.2023;газ, конденсат;Лободинский (месторождения: часть Лободинского (НФ) Быковский район;2;1;38.48;4;49;25;52.223;45;19;39.761;49;25;51.997;45;19;44.999;;газ С1 - 3,599 млрд.м3, конденсат С1- 0,506 млн.т;по данным Госбаланса на 01.01.2022;разведка и добыча;аукцион;2 кв. 2023г. Югнедра
